#isbn13<tab>title<tab>price<tab>publishDate<tab>abstraction
978-4844330844	Scalaスケーラブルプログラミング第2版	4830	2011/09/27	言語設計者自ら、その手法と思想を説くScalaプログラミングバイブル!Ver.2.8に全面対応。2.9の解説を追加収録「Programming in Scala: A Comprehensive Step-by-Step Guide, 2nd Edition」の翻訳書。Scalaは、オブジェクト指向と関数型を絶妙に融合したプログラミング言語。本書では、Scala言語の設計者自らが、Scalaの考え方と使い方をステップ・バイ・ステップで解説。第2版では、バージョン2.8に合わせた内容に変更。特にコレクションAPIについては大幅に解説を追加。さらに、日本語版の特別付録として、並列コレクションなどバージョン2.9の解説を収録。本書は、Scalaプログラミングの手法と思想に焦点を当てたまさにバイブル本の第2版。原著の第1版は、優れたIT技術とIT書を讃えるJolt Awardにおいて、2008年ファイナリストにノミネートし、Productivity Awardを受賞!【第2版での変更点】◎バージョン2.8に基づく内容とサンプル-コレクションライブラリ-構造的サブ型-implicitsの新しいルール-パッケージオブジェクト-名前付きパラメーターとデフォルトパラメーター-ケースクラスでのcopyメソッド◎バージョン2.9での新機能-並列コレクション .etc[監修者あとがき]第2版の翻訳をようやく出版できて、ほっとしている。言語自体も進化を遂げ、最新のScala 2.9では並列コレクションなどの導入によって部分的な機能強化が進んでいる。本文はScala 2.8をベースにしているが、基本的な骨格はまったく同じなので、心配せずに本書で学んでほしい。特に第2版では、新規に書き下ろされた24章と25章で新たに再設計されたコレクションの基本と構造が必要十分な詳細さで解説されているのでぜひ読んでほしい。なお、Scala言語処理系に精通している水島さんに付録としてわかりやすい解説を書いていただいた。そのため、本書を手にした皆さんは、最新情報でScalaを学べるのも本書の売りの1つと考える。 私の周囲でも今年に入ってからScalaの実利用を目指して研究をはじめましたという開発者の声が増えている。実際に実開発に利用しているという会社も日本で知っている範囲でも数社は出てきている。ぜひ今後、大学での基本言語として採用が増え、結果として学生から実務者まで広くScalaのコミュニティが育っていくことを強く願っている。その際に本書が少しでも貢献できれば本望である。
978-4798125411	Scala逆引きレシピ (PROGRAMMER’S RECiPE)	3360    2012/07/03	Scalaでコードを書く際の実践ノウハウが凝縮! 本書は、オブジェクト指向言語に関数型言語の特長をバランスよく取り込んだ、実用的なプログラミング言語「Scala(スカラ)」の逆引き解説書です。Scalaの基本構文、標準ライブラリ、ユニットテスト、ビルドツール、データベース、Webプログラミングなど幅広い内容について、著者の現場経験に基づいた実践的なノウハウ、レシピを提供します。これからScalaに触れてみようという方はもちろんのこと、すでにある程度Scalaに関する理解がある方にとっても、「実際の開発時にどのようなコードを書いたらよいかを知るための手引き」として役立てていただける1冊です。 
978-4873114811	プログラミングScala	3990	2011/01/20	プログラミング言語Scalaの解説書。Scala言語の基本的な機能やScala特有の設計について学ぶことができます。対象読者はJavaやRuby といったオブジェクト指向言語の経験を持つプログラマ。前半は実行可能なサンプルを実際に動かしながら言語の説明をしているため初学者にも読みやすく、後半の言語仕様の詳細やScala独特のイディオム、設計原則、デザインパターン、DSLといった高度な概念についての解説は中上級者にとっても参考になります。日本語版では独自の章を2つ追加し、Scala 2.8における変更点とSimple Build Toolを使ったScalaの開発について解説しました。Scala 2.7/2.8対応。 
978-4274069130|プログラミングClojure 第2版|3570|2013/04/26|プログラミング言語Clojureの実践的な解説書の改訂2版!Clojure(クロージャ)は、関数型プログラミングや並行プログラミングといった、強力なプログラミング手法をサポートするプログラミング言語です。進んだパラダイムと実用性との見事なバランス、オープンソースでの公開やJavaとの親和性の高さなどの特徴が挙げられます。本書は、ユーザにとって必要な知識を十分に解説したClojureの実践的な解説書Pragmatic Bookshelf社の"Programming Clojure"の2nd editionを翻訳したものです。基本部分から応用的なところまでを網羅的に解説しています。 
